"date","id","SO2","NO2","O3","PM10","CO","PM2.5","C6H6"
2022-11-07 09:00:00,750,NA,NA,29.5484,NA,NA,NA,NA
2022-11-07 08:00:00,750,NA,NA,28.826,NA,NA,NA,NA
2022-11-07 07:00:00,750,NA,NA,29.2037,NA,NA,NA,NA
2022-11-07 06:00:00,750,NA,NA,30.8784,NA,NA,NA,NA
2022-11-07 05:00:00,750,NA,NA,32.0977,NA,NA,NA,NA
2022-11-07 04:00:00,750,NA,NA,33.7851,NA,NA,NA,NA
2022-11-07 03:00:00,750,NA,NA,36.1719,NA,NA,NA,NA
2022-11-07 02:00:00,750,NA,NA,40.6036,NA,NA,NA,NA
2022-11-07 01:00:00,750,NA,NA,39.0971,NA,NA,NA,NA
2022-11-07 00:00:00,750,NA,NA,35.9307,NA,NA,NA,NA
2022-11-06 23:00:00,750,NA,NA,35.8547,NA,NA,NA,NA
2022-11-06 22:00:00,750,NA,NA,NA,NA,NA,NA,NA
2022-11-06 21:00:00,750,NA,NA,36.9688,NA,NA,NA,NA
2022-11-06 20:00:00,750,NA,NA,38.4968,NA,NA,NA,NA
2022-11-06 19:00:00,750,NA,NA,40.2925,NA,NA,NA,NA
2022-11-06 18:00:00,750,NA,NA,40.243,NA,NA,NA,NA
2022-11-06 17:00:00,750,NA,NA,41.9271,NA,NA,NA,NA
2022-11-06 16:00:00,750,NA,NA,46.2404,NA,NA,NA,NA
2022-11-06 15:00:00,750,NA,NA,46.4523,NA,NA,NA,NA
2022-11-06 14:00:00,750,NA,NA,50.051,NA,NA,NA,NA
2022-11-06 13:00:00,750,NA,NA,52.2298,NA,NA,NA,NA
2022-11-06 12:00:00,750,NA,NA,54.1629,NA,NA,NA,NA
2022-11-06 11:00:00,750,NA,NA,52.8393,NA,NA,NA,NA
2022-11-06 10:00:00,750,NA,NA,48.9647,NA,NA,NA,NA
2022-11-06 09:00:00,750,NA,NA,43.7373,NA,NA,NA,NA
2022-11-06 08:00:00,750,NA,NA,36.8669,NA,NA,NA,NA
2022-11-06 07:00:00,750,NA,NA,27.9283,NA,NA,NA,NA
2022-11-06 06:00:00,750,NA,NA,24.2942,NA,NA,NA,NA
2022-11-06 05:00:00,750,NA,NA,25.4599,NA,NA,NA,NA
2022-11-06 04:00:00,750,NA,NA,25.8058,NA,NA,NA,NA
2022-11-06 03:00:00,750,NA,NA,27.6137,NA,NA,NA,NA
2022-11-06 02:00:00,750,NA,NA,30.8913,NA,NA,NA,NA
2022-11-06 01:00:00,750,NA,NA,32.6498,NA,NA,NA,NA
2022-11-06 00:00:00,750,NA,NA,36.0929,NA,NA,NA,NA
2022-11-05 23:00:00,750,NA,NA,37.3897,NA,NA,NA,NA
